"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
1,"A","Agilent Technologies Inc.","Technology","Scientific & Technical Instruments","USA",14273.33,14.39,41.00,0.00%,3393008
2,"AA","Alcoa, Inc.","Basic Materials","Aluminum","USA",10909.08,19.34,10.25,0.79%,28620450
3,"AACC","Asset Acceptance Capital Corp.","Financial","Credit Services","USA",138.06,150.00,4.50,5.14%,5950
4,"AADR","WCM/BNY Mellon Focused Growth ADR ETF","Financial","Exchange Traded Fund","USA",,,29.09,0.00%,0
5,"AAME","Atlantic American Corp.","Financial","Life Insurance","USA",45.25,13.47,2.02,1.51%,500
6,"AAN","Aaron's, Inc.","Services","Rental & Leasing Services","USA",1962.76,18.30,25.99,2.24%,1128335
7,"AAON","AAON Inc.","Industrial Goods","General Building Materials","USA",488.36,26.08,19.82,-0.90%,23763
8,"AAP","Advance Auto Parts Inc.","Services","Auto Parts Stores","USA",5426.51,15.70,74.90,0.20%,771017
9,"AAPL","Apple Inc.","Technology","Personal Computers","USA",398409.30,15.45,427.41,1.69%,10857040
10,"AAT","American Assets Trust, Inc.","Financial","REIT - Office","USA",842.95,,21.46,0.99%,61796
11,"AAU","Almaden Minerals Ltd.","Basic Materials","Industrial Metals & Minerals","Canada",140.79,,2.43,-2.80%,94453
12,"AAV","Advantage Oil & Gas Ltd.","Basic Materials","Oil & Gas Drilling & Exploration","Canada",610.32,,3.67,6.38%,1076213
13,"AAVX","UBS E-TRACS Dly Sh 1Mo S&P500 VIX Fu ETN","Financial","Exchange Traded Fund","USA",,,109.85,2.95%,200
14,"AAWW","Atlas Air Worldwide Holdings Inc.","Services","Air Services, Other","USA",1142.21,10.99,43.43,-0.05%,157753
15,"AAXJ","iShares MSCI All Country Asia ex Jpn Idx","Financial","Exchange Traded Fund","USA",2204.57,,54.84,0.64%,302224
16,"AB","AllianceBernstein Holding L.P.","Financial","Asset Management","USA",1622.77,10.72,15.43,0.52%,392815
17,"ABAX","Abaxis Inc.","Healthcare","Diagnostic Substances","USA",608.99,50.16,28.09,-0.28%,34068
18,"ABB","ABB Ltd.","Industrial Goods","Industrial Electrical Equipment","Switzerland",49489.14,16.20,21.38,1.14%,2176270
19,"ABC","AmerisourceBergen Corporation","Services","Drugs Wholesale","USA",10281.93,15.67,39.80,-0.72%,2544245
20,"ABCB","Ameris Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",259.59,13.84,10.93,0.09%,7905
21,"ABCD","Cambium Learning Group, Inc.","Services","Education & Training Services","USA",153.02,,3.09,-4.04%,13216
22,"ABCO","Advisory Board Co.","Services","Business Services","USA",1282.92,73.24,78.37,0.41%,127580
23,"ABCS","Guggenheim ABC High Dividend","Financial","Exchange Traded Fund","USA",,,21.60,0.61%,2970
24,"ABCW","Anchor BanCorp Wisconsin, Inc.","Financial","Savings & Loans","USA",6.07,,0.28,0.00%,0
25,"ABD","ACCO Brands Corporation","Consumer Goods","Office Supplies","USA",549.96,41.33,9.92,-0.50%,366567
26,"ABFS","Arkansas Best Corporation","Services","Trucking","USA",554.16,436.00,21.80,-0.86%,332216
27,"ABG","Asbury Automotive Group, Inc.","Services","Auto Dealerships","USA",737.70,21.30,23.22,-0.73%,287673
28,"ABH","Resolute Forest Products","Consumer Goods","Paper & Paper Products","Canada",1451.50,0.43,14.95,0.27%,323080
29,"ABIO","ARCA biopharma, Inc.","Healthcare","Biotechnology","USA",10.73,,1.02,0.99%,1055876
30,"ABL","American Biltrite Inc.","Consumer Goods","Rubber & Plastics","USA",14.52,6.38,4.21,1.20%,3950
31,"ABM","ABM Industries Inc.","Services","Business Services","USA",1156.63,17.07,21.68,2.41%,373984
32,"ABMC","American Bio Medica Corp.","Healthcare","Diagnostic Substances","USA",3.70,,0.17,0.00%,0
33,"ABMD","Abiomed Inc.","Healthcare","Medical Appliances & Equipment","USA",686.55,,17.80,-4.35%,251961
34,"ABR","Arbor Realty Trust Inc.","Financial","REIT - Diversified","USA",102.11,,4.23,-0.94%,23034
